"Genus" "Function"
"1" "Streptococcus" "chemoheterotrophy"
"2" "Streptococcus" "fermentation"
"3" "Streptococcus" "animal_parasites_or_symbionts"
"4" "Streptococcus" "human_associated"
"5" "Streptococcus" "human_pathogens_all"
"6" "Streptococcus" "human_pathogens_meningitis"
"7" "Streptococcus" "human_pathogens_septicemia"
"8" "Elizabethkingia" "aerobic_chemoheterotrophy"
"9" "Elizabethkingia" "chemoheterotrophy"
"10" "Enhydrobacter" "aerobic_chemoheterotrophy"
"11" "Enhydrobacter" "animal_parasites_or_symbionts"
"12" "Enhydrobacter" "chemoheterotrophy"
"13" "Enhydrobacter" "fermentation"
"14" "Enhydrobacter" "human_associated"
"15" "Enhydrobacter" "human_gut"
"16" "Enhydrobacter" "mammal_gut"
"17" "Enhydrobacter" "nitrate_reduction"
"18" "Kocuria" "aerobic_chemoheterotrophy"
"19" "Kocuria" "chemoheterotrophy"
"20" "Acinetobacter" "aerobic_chemoheterotrophy"
"21" "Acinetobacter" "aromatic_compound_degradation"
"22" "Acinetobacter" "chemoheterotrophy"
"23" "Alkanindiges" "chemoheterotrophy"
"24" "Alkanindiges" "aliphatic_non_methane_hydrocarbon_degradation"
"25" "Alkanindiges" "hydrocarbon_degradation"
