"Genus" "Function"
"1" "Rothia" "chemoheterotrophy"
"2" "Rothia" "fermentation"
"3" "Rothia" "nitrate_reduction"
"4" "Staphylococcus" "animal_parasites_or_symbionts"
"5" "Staphylococcus" "human_associated"
"6" "Staphylococcus" "human_pathogens_all"
"7" "Staphylococcus" "nitrate_reduction"
"8" "Staphylococcus" "ureolysis"
"9" "Deinococcus" "nitrate_reduction"
"10" "Weissella" "chemoheterotrophy"
"11" "Weissella" "fermentation"
"12" "Papillibacter" "aromatic_compound_degradation"
"13" "Papillibacter" "chemoheterotrophy"
"14" "Akkermansia" "aerobic_chemoheterotrophy"
"15" "Akkermansia" "chemoheterotrophy"
"16" "Akkermansia" "animal_parasites_or_symbionts"
"17" "Akkermansia" "human_associated"
"18" "Akkermansia" "human_gut"
"19" "Akkermansia" "mammal_gut"
